"","name","prob.m","prob.w"
"885","Luigi",0.99,0.01
"886","Luiz",0.99,0.01
"887","Manuela",0.02,0.98
"888","Marisa",0.02,0.98
"889","Masaharu",0.99,0.01
"890","Masahiro",1,0
"891","Masashi",1,0
"892","Naoki",0.98,0.02
"893","Rob",0.99,0.01
"894","Rosalind",0.02,0.98
"895","Sacha",0.66,0.34
"896","Sandrine",0.02,0.98
"897","Sang",0.88,0.12
"898","Sascha",0.97,0.03
"899","Shihui",0.26,0.74
"900","Takao",0.98,0.02
"901","Ulf",0.99,0.01
"902","Vanessa",0.02,0.98
"903","Zoe",0.05,0.95
"904","Adi",0.92,0.08
"905","Adriano",0.99,0.01
"906","Alireza",0.99,0.01
"907","Annemie",0.01,0.99
"908","Chao",0.86,0.14
"909","Chun",0.73,0.27
"910","Darren",0.99,0.01
"911","Declan",0.99,0.01
"912","Dmitry",1,0
"913","Dong",0.87,0.13
"914","Edvard",0.99,0.01
"915","Fabian",0.99,0.01
"916","Frederik",0.98,0.02
"917","Gabriela",0.02,0.98
"918","Ji",0.78,0.22
"919","Jorg",0.98,0.02
"920","Kirill",1,0
"921","Kirk",0.99,0.01
"922","Mara",0.08,0.92
"923","Maureen",0.02,0.98
"924","Nadine",0.02,0.98
"925","Nico",0.96,0.04
"926","Pat",0.61,0.39
"927","Quentin",0.98,0.02
"928","Ru-Rong",0.61,0.39
"929","Sylvie",0.02,0.98
"930","Tadashi",0.99,0.01
"931","Xiaoping",0.6,0.4
"932","Yoko",0.24,0.76
"933","Akiko",0.03,0.97
"934","Andrej",0.99,0.01
"935","Antoni",0.98,0.02
"936","Brenda",0.02,0.98
"937","Burkhard",0.99,0.01
"938","Carolina",0.02,0.98
"939","Caterina",0.01,0.99
"940","Curtis",0.99,0.01
"941","Dmitri",0.99,0.01
"942","Eero",0.99,0.01
"943","Elias",0.99,0.01
"944","Eran",0.97,0.03
"945","Evelyn",0.02,0.98
"946","Flora",0.03,0.97
"947","Fredrik",0.99,0.01
"948","Genevieve",0.02,0.98
"949","Grace",0,1
"950","Hajime",0.98,0.02
"951","Inga",0.03,0.97
"952","Izumi",0.29,0.71
"953","Joe",0.97,0.03
"954","Kamran",0.99,0.01
"955","Koji",0.98,0.02
"956","Laure",0.03,0.97
"957","Leanne",0.02,0.98
"958","Lino",0.98,0.02
"959","Lorraine",0.02,0.98
"960","Lucy",0.02,0.98
"961","Menahem",0.97,0.03
"962","Mika",0.76,0.24
"963","Mitsuo",0.98,0.02
"964","Moses",0.98,0.02
"965","Roberta",0.04,0.96
"966","Rudiger",1,0
"967","Rui",0.98,0.02
"968","Seiji",0.99,0.01
"969","Srikantan",1,0
"970","Stanislav",0.99,0.01
"971","Ueli",0.98,0.02
"972","Viktor",0.98,0.02
"973","Vivian",0.07,0.93
"974","Xiao",0.53,0.47
"975","Xiaoqin",0.17,0.83
"976","Yihong",0.49,0.51
"977","Yuan",0.58,0.42
"978","Yuki",0.38,0.62
"979","Yury",0.84,0.16
"980","Akihiro",1,0
"981","Anat",0.21,0.79
"982","Arno",0.99,0.01
"983","Deniz",0.62,0.38
"984","Dick",0.98,0.02
"985","Dominik",0.98,0.02
"986","Eun",0.31,0.69
"987","Eunjoon",0.75,0.25
"988","Fan",0.63,0.37
"989","Ferdinand",0.98,0.02
"990","Flavio",0.99,0.01
"991","Floris",0.93,0.07
"992","Franz",0.98,0.02
"993","Friedemann",1,0
"994","Gerd",0.87,0.13
"995","Guinevere",0.01,0.99
"996","Harvey",0.98,0.02
"997","Herve",0.98,0.02
"998","Ignacio",0.99,0.01
"999","Janice",0.02,0.98
"1000","Joern",0.99,0.01
"1001","Johann",0.95,0.05
"1002","Jong",0.92,0.08
"1003","Joost",0.99,0.01
"1004","Karina",0.02,0.98
"1005","Katie",0.01,0.99
"1006","Keiko",0.05,0.95
"1007","Kenichi",0.99,0.01
"1008","Liang",0.82,0.18
"1009","Martine",0.03,0.97
"1010","Matti",0.95,0.05
"1011","Maximilian",0.99,0.01
"1012","Miles",0.92,0.08
"1013","Natasha",0.02,0.98
"1014","Nobutaka",1,0
"1015","Oleg",1,0
"1016","Oswald",0.97,0.03
"1017","Patricio",0.99,0.01
"1018","Qing",0.42,0.58
"1019","Rong",0.55,0.45
"1020","Rony",0.93,0.07
"1021","Rupert",0.98,0.02
"1022","Sangram",1,0
"1023","Santiago",0.99,0.01
"1024","Serena",0.02,0.98
"1025","Shigeo",1,0
"1026","Takahisa",1,0
"1027","Tania",0.02,0.98
"1028","Tatsuya",0.99,0.01
"1029","Tianzi",0.43,0.57
"1030","Tyler",0.97,0.03
"1031","Xi",0.5,0.5
"1032","Xiang",0.77,0.23
"1033","Yaniv",0.99,0.01
"1034","Yukiko",0.02,0.98
"1035","Alastair",0.99,0.01
"1036","Anastasia",0.02,0.98
"1037","Bing",0.63,0.37
"1038","Chihiro",0.27,0.73
"1039","Debra",0.01,0.99
"1040","Dorothee",0.02,0.98
"1041","Eliezer",0.98,0.02
"1042","Elisa",0.02,0.98
"1043","Federica",0.01,0.99
"1044","Franck",0.99,0.01
"1045","Gabriella",0.02,0.98
"1046","Gerhard",0.99,0.01
"1047","Giles",0.99,0.01
"1048","Guoping",0.73,0.27
"1049","Hagai",0.97,0.03
"1050","Hal",0.91,0.09
"1051","Heiko",0.84,0.16
"1052","Heinrich",0.98,0.02
"1053","Hideyuki",1,0
"1054","Iain",0.99,0.01
"1055","Jean-Baptiste",0.99,0.01
"1056","Jelena",0.02,0.98
"1057","Jesper",0.99,0.01
"1058","Kalanit",0.2,0.8
"1059","Kazuhiro",1,0
"1060","Kirsten",0.03,0.97
"1061","Klaus-Armin",0.98,0.02
"1062","Lila",0.05,0.95
"1063","Marcello",0.99,0.01
"1064","Masayoshi",1,0
"1065","Matias",0.99,0.01
"1066","Mikko",0.98,0.02
"1067","Pak",0.88,0.12
"1068","Peggy",0.02,0.98
"1069","Ricarda",0.03,0.97
"1070","Romain",0.99,0.01
"1071","Sergei",0.99,0.01
"1072","Shaul",0.97,0.03
"1073","Sheila",0.02,0.98
"1074","Shigeru",1,0
"1075","Shin",0.79,0.21
"1076","Shinya",0.99,0.01
"1077","Sophia",0.02,0.98
"1078","Steffen",0.99,0.01
"1079","Sylvia",0.02,0.98
"1080","Takahiro",0.99,0.01
"1081","Tomomi",0.09,0.91
"1082","Wataru",1,0
"1083","Wee",0.74,0.26
"1084","Yadin",0.96,0.04
"1085","Yue",0.42,0.58
"1086","Yuh",0.59,0.41
"1087","Zhigang",0.98,0.02
"1088","Adrienne",0.01,0.99
"1089","Andrey",0.99,0.01
"1090","Angelika",0.02,0.98
"1091","Anke",0.03,0.97
"1092","Anne-Lise",0.01,0.99
"1093","Antonia",0.03,0.97
"1094","Aya",0.0600000000000001,0.94
"1095","Blake",0.96,0.04
"1096","Courtney",0.08,0.92
"1097","Daria",0.03,0.97
"1098","Felipe",0.99,0.01
"1099","Garrett",0.99,0.01
"1100","Gene",-1,-1
"1101","Gitte",0.01,0.99
"1102","Glenda",0.02,0.98
"1103","Gloria",0.02,0.98
"1104","Gottfried",1,0
"1105","Guillermo",0.99,0.01
"1106","Guojun",1,0
"1107","Habib",0.98,0.02
"1108","Hanns",0.97,0.03
"1109","Hans-Otto",1,0
"1110","Hikaru",0.73,0.27
"1111","Hongjun",0.98,0.02
"1112","Irwin",0.98,0.02
"1113","Joanne",0.02,0.98
"1114","Krzysztof",1,0
"1115","Lena",0.02,0.98
"1116","Lionel",0.99,0.01
"1117","Lorna",0.03,0.97
"1118","Luciano",0.99,0.01
"1119","Lynne",0.01,0.99
"1120","Marian",0.62,0.38
"1121","Marios",0.98,0.02
"1122","Marty",0.67,0.33
"1123","Maryam",0.02,0.98
"1124","Masao",0.99,0.01
"1125","Matthijs",0.98,0.02
"1126","Monika",0.02,0.98
"1127","Morris",0.98,0.02
"1128","Olivia",0.03,0.97
"1129","Paulo",0.99,0.01
"1130","Pico",0.88,0.12
"1131","Remi",0.93,0.07
"1132","Riccardo",0.99,0.01
"1133","Semir",0.98,0.02
"1134","Shan",0.73,0.27
"1135","Stewart",0.99,0.01
"1136","Tatyana",0.02,0.98
"1137","Theresa",0.02,0.98
"1138","Venkatesh",1,0
"1139","Verena",0.02,0.98
"1140","Xue",0.26,0.74
"1141","Yishi",-1,-1
"1142","Yvonne",0.02,0.98
"1143","Amit",0.99,0.01
"1144","Angus",0.96,0.04
"1145","Ari",0.77,0.23
"1146","Armen",0.97,0.03
"1147","Artur",0.99,0.01
"1148","Bai",0.68,0.32
"1149","Berislav",1,0
"1150","Colleen",0.02,0.98
"1151","Cyriel",0.75,0.25
"1152","Dara",0.36,0.64
"1153","Dave",0.99,0.01
"1154","Eiji",0.98,0.02
"1155","Fa-Hsuan",0.57,0.43
"1156","Felice",0.91,0.09
"1157","Grant",-1,-1
"1158","Gunnar",0.99,0.01
"1159","Huizhong",0.33,0.67
"1160","Hyun",0.82,0.18
"1161","Ilona",0.01,0.99
"1162","Ines",0.02,0.98
"1163","Itzhak",1,0
"1164","Jana",0.02,0.98
"1165","Joana",0.02,0.98
"1166","Jody",0.41,0.59
"1167","Jorn",0.99,0.01
"1168","Kazuhiko",0.99,0.01
"1169","Kentaro",1,0
"1170","Knut",0.99,0.01
"1171","Lauri",0.46,0.54
"1172","Marzia",0.02,0.98
"1173","Maya",0.05,0.95
"1174","Mircea",0.98,0.02
"1175","Molly",0.02,0.98
"1176","Norio",0.99,0.01
"1177","Omar",0.98,0.02
"1178","Otto",0.97,0.03
"1179","Pradeep",1,0
"1180","Randolph",0.98,0.02
"1181","Ranulfo",1,0
"1182","Rodney",0.99,0.01
"1183","Ryuichi",0.98,0.02
"1184","Seiki",1,0
"1185","Shelley",0.02,0.98
"1186","Shin-ichi",1,0
"1187","Soren",0.95,0.05
"1188","Tali",0.33,0.67
"1189","Tallie",0.03,0.97
"1190","Tanya",0.02,0.98
"1191","Tilo",0.97,0.03
"1192","Tong",0.77,0.23
"1193","Toshihiko",1,0
"1194","Umberto",0.99,0.01
"1195","Ute",0.02,0.98
"1196","Yann",0.98,0.02
"1197","Yasuhiro",1,0
"1198","Ye",0.75,0.25
"1199","Yoichi",0.99,0.01
"1200","Yonatan",0.99,0.01
"1201","Yukio",0.97,0.03
"1202","Aldo",0.99,0.01
"1203","Annie",0.02,0.98
"1204","Antonella",0.02,0.98
"1205","Aurelie",0.03,0.97
"1206","Bertil",0.98,0.02
"1207","Beverly",0.03,0.97
"1208","Botond",0.99,0.01
"1209","Bridget",0.01,0.99
"1210","Caitlin",0.01,0.99
"1211","Camillo",0.99,0.01
"1212","Catharine",0.03,0.97
"1213","Cecile",0.03,0.97
"1214","Cesar",0.99,0.01
"1215","Cheng",0.73,0.27
"1216","Chiang-shan",0.73,0.27
"1217","Christelle",0.03,0.97
"1218","Chun-Fang",0.48,0.52
"1219","Clive",0.99,0.01
"1220","Corinna",0.02,0.98
"1221","Cory",0.89,0.11
"1222","Dylan",0.98,0.02
"1223","Eliot",0.97,0.03
"1224","Elisabetta",0.01,0.99
"1225","Emanuel",0.99,0.01
"1226","Emilie",0.02,0.98
"1227","Ferruccio",0.99,0.01
"1228","Flavia",0.02,0.98
"1229","Francoise",0.03,0.97
"1230","Geraldine",0.02,0.98
"1231","Hugues",0.98,0.02
"1232","Inna",0.03,0.97
"1233","Jim",0.99,0.01
"1234","Juliana",0.02,0.98
"1235","Junichi",0.99,0.01
"1236","Kaoru",0.51,0.49
"1237","Keisuke",1,0
"1238","Lamberto",0.99,0.01
"1239","Marcos",0.99,0.01
"1240","Margot",0.02,0.98
"1241","Masaaki",1,0
"1242","Massimiliano",0.99,0.01
"1243","Michaela",0.08,0.92
"1244","Michisuke",0.75,0.25
"1245","Mikael",0.99,0.01
"1246","Morten",1,0
"1247","Ned",0.93,0.07
"1248","Norman",0.99,0.01
"1249","Qin",0.36,0.64
"1250","Qiufu",-1,-1
"1251","Rachael",0.02,0.98
"1252","Rajiv",0.99,0.01
"1253","Read",-1,-1
"1254","Roshan",0.96,0.04
"1255","Shigetada",1,0
"1256","Shinichi",0.97,0.03
"1257","Shinji",0.98,0.02
"1258","Stella",0.02,0.98
"1259","Sterling",0.9,0.1
"1260","Sydney",0.3,0.7
"1261","Takanori",0.99,0.01
"1262","Tamar",0.12,0.88
"1263","Tiago",0.99,0.01
"1264","Tibor",0.99,0.01
"1265","Tina",0.02,0.98
"1266","Valerio",0.99,0.01
"1267","Wen",0.44,0.56
"1268","Yoshikazu",1,0
"1269","Yusuke",0.99,0.01
"1270","Ziad",0.98,0.02
"1271","Alun",0.98,0.02
"1272","Anil",0.99,0.01
"1273","Annalisa",0.01,0.99
"1274","Ardem",0.92,0.08
"1275","Asaf",0.98,0.02
"1276","Birte",0.02,0.98
"1277","Bogdan",0.99,0.01
"1278","Bojana",0.03,0.97
"1279","Byung",0.97,0.03
"1280","Camilla",0.02,0.98
"1281","Chunlei",0.83,0.17
"1282","Darcy",0.37,0.63
"1283","Elke",0.01,0.99
"1284","Ernst",0.98,0.02
"1285","Eyal",0.99,0.01
"1286","Friedrich",0.98,0.02
"1287","Gail",0.03,0.97
"1288","Gautam",1,0
"1289","Gert",0.98,0.02
"1290","Gisela",0.01,0.99
"1291","Guang",0.93,0.07
"1292","Hellmuth",1,0
"1293","Hillel",0.98,0.02
"1294","Janine",0.02,0.98
"1295","Jerzy",0.99,0.01
"1296","Jordi",0.99,0.01
"1297","Kari",0.32,0.68
"1298","Katalin",0.02,0.98
"1299","Katya",0.02,0.98
"1300","Kazunori",1,0
"1301","Kelsey",0.04,0.96
"1302","Kevan",0.97,0.03
"1303","Kimberley",0.02,0.98
"1304","Lara",0.03,0.97
"1305","Lindsey",0.03,0.97
"1306","Long",-1,-1
"1307","Lonnie",0.85,0.15
"1308","Mariana",0.02,0.98
"1309","Masakazu",1,0
"1310","Mirella",0.02,0.98
"1311","Mohammad",0.99,0.01
"1312","Penny",0.07,0.93
"1313","Perry",0.91,0.09
"1314","Rae",0.15,0.85
"1315","Raul",0.99,0.01
"1316","Roderick",0.99,0.01
"1317","Ryohei",1,0
"1318","Suresh",1,0
"1319","Takaki",0.98,0.02
"1320","Till",1,0
"1321","Ting",0.32,0.68
"1322","Toshio",0.99,0.01
"1323","Toshiyuki",1,0
"1324","Vasily",0.99,0.01
"1325","Virginie",0.03,0.97
"1326","Xiaolin",0.46,0.54
"1327","Yaakov",0.98,0.02
"1328","Abdeljabbar",0.95,0.05
"1329","Abigail",0.02,0.98
"1330","Agnieszka",0.02,0.98
"1331","Alcino",0.99,0.01
"1332","Alexey",1,0
"1333","Antony",0.98,0.02
"1334","Anuradha",0.14,0.86
"1335","Arun",0.99,0.01
"1336","Bennett",0.95,0.05
"1337","Bita",0.09,0.91
"1338","Brad",1,0
"1339","Casper",0.95,0.05
"1340","Christo",0.98,0.02
"1341","Csaba",0.99,0.01
"1342","Dagmar",0.02,0.98
"1343","Dawn",-1,-1
"1344","Detlef",0.99,0.01
"1345","Elior",0.94,0.0600000000000001
"1346","Elise",0.03,0.97
"1347","Eveline",0.02,0.98
"1348","Evelyne",0.02,0.98
"1349","Fabienne",0.02,0.98
"1350","Fatima",0.02,0.98
"1351","Fernanda",0.02,0.98
"1352","Frederique",0.09,0.91
"1353","Fuqiang",0.92,0.08
"1354","Galit",0.03,0.97
"1355","Gil",0.91,0.09
"1356","Giulia",0.01,0.99
"1357","Hae-Jeong",0.74,0.26
"1358","Hans-Christian",1,0
"1359","Haruo",0.97,0.03
"1360","Herwig",1,0
"1361","Hideaki",0.99,0.01
"1362","Hilmar",0.93,0.07
"1363","Idan",0.97,0.03
"1364","Ileana",0.02,0.98
"1365","Ira",0.16,0.84
"1366","Isaac",0.99,0.01
"1367","Isabella",0.02,0.98
"1368","Ivo",0.98,0.02
"1369","Jan-Marino",0.92,0.08
"1370","Jean-Luc",0.99,0.01
"1371","Jeanette",0.03,0.97
"1372","Jia-Hong",1,0
"1373","Jocelyne",0.02,0.98
"1374","Jon-Kar",0.98,0.02
"1375","Karine",0.04,0.96
"1376","Katsuyuki",1,0
"1377","Kensaku",1,0
"1378","Kobi",0.9,0.1
"1379","Konstantinos",0.99,0.01
"1380","Laurel",0.1,0.9
"1381","Leah",0.01,0.99
"1382","Liam",0.99,0.01
"1383","Liliana",0.02,0.98
"1384","Lior",0.86,0.14
"1385","Lorenzo",0.99,0.01
"1386","Marcia",0.03,0.97
"1387","Maren",0.03,0.97
"1388","Mariano",0.99,0.01
"1389","Marilyn",0.03,0.97
"1390","Marshall",0.98,0.02
"1391","Mei",0.11,0.89
"1392","Melvyn",0.97,0.03
"1393","Meyer",0.72,0.28
"1394","Mikhail",1,0
"1395","Mireille",0.02,0.98
"1396","Mohammed",0.99,0.01
"1397","Moshe",0.99,0.01
"1398","Nace",0.73,0.27
"1399","Naftali",0.87,0.13
"1400","Nanyin",0.75,0.25
"1401","Narender",0.99,0.01
"1402","Nobuyuki",0.99,0.01
"1403","Raffaella",0.02,0.98
"1404","Rami",0.96,0.04
"1405","Rashmi",0.05,0.95
"1406","Regis",0.97,0.03
"1407","Reisa",0.2,0.8
"1408","Salvador",0.99,0.01
"1409","Sampsa",0.98,0.02
"1410","Saskia",0.02,0.98
"1411","Seung",0.93,0.07
"1412","Severine",0.03,0.97
"1413","Su",0.3,0.7
"1414","Tadaharu",0.75,0.25
"1415","Takeo",0.98,0.02
"1416","Terence",0.99,0.01
"1417","Tirin",-1,-1
"1418","Tomoki",0.99,0.01
"1419","Toshiki",0.99,0.01
"1420","Travis",0.99,0.01
"1421","Tzumin",-1,-1
"1422","Vikaas",1,0
"1423","Viviana",0.02,0.98
"1424","Wu",0.69,0.31
"1425","Xiao-Jiang",0.57,0.43
"1426","Yuichi",0.99,0.01
"1427","Yulia",0.02,0.98
"1428","Adolf",0.95,0.05
"1429","Afonso",0.98,0.02
"1430","Ahmed",0.98,0.02
"1431","Akihiko",0.97,0.03
"1432","Alessio",0.99,0.01
"1433","Aline",0.02,0.98
"1434","Andras",0.98,0.02
"1435","Angeles",0.02,0.98
"1436","Angelique",0.03,0.97
"1437","Anjali",0.02,0.98
"1438","Astrid",0.02,0.98
"1439","Bjorn",0.99,0.01
"1440","Bryce",0.97,0.03
"1441","Camille",0.16,0.84
"1442","Celia",0.02,0.98
"1443","Chinfei",0.75,0.25
"1444","Christy",0.07,0.93
"1445","Damian",0.99,0.01
"1446","Daphna",0.04,0.96
"1447","Daphne",0.02,0.98
"1448","Ebenezer",0.98,0.02
"1449","Eckart",0.98,0.02
"1450","Elvira",0.02,0.98
"1451","Essa",0.93,0.07
"1452","Fei",0.62,0.38
"1453","Franco",0.99,0.01
"1454","Fujio",0.96,0.04
"1455","Gal",0.64,0.36
"1456","Georgia",0.0600000000000001,0.94
"1457","Giancarlo",0.99,0.01
"1458","Gregg",0.99,0.01
"1459","Gwenaelle",0.02,0.98
"1460","Hang",-1,-1
"1461","Hannes",0.96,0.04
"1462","Hanzhang",0.75,0.25
"1463","Hidenao",1,0
"1464","Hidenori",1,0
"1465","Hilary",0.2,0.8
"1466","Hiroko",0.01,0.99
"1467","Ilana",0.01,0.99
"1468","Ina",0.04,0.96
"1469","Iryna",0.02,0.98
"1470","Jacek",0.99,0.01
"1471","Jae",0.76,0.24
"1472","Jean-Christophe",0.99,0.01
"1473","Jianfeng",0.97,0.03
"1474","Jiangyang",-1,-1
"1475","Jung",0.71,0.29
"1476","Kara",0.35,0.65
"1477","Kareem",0.97,0.03
"1478","Karl-Heinz",0.99,0.01
"1479","Katerina",0.01,0.99
"1480","Kei",0.74,0.26
"1481","Kristjan",0.97,0.03
"1482","Leigh",0.38,0.62
"1483","Lixia",0.1,0.9
"1484","Luisa",0.02,0.98
"1485","Lydia",0.02,0.98
"1486","Marieke",0.02,0.98
"1487","Masahito",1,0
"1488","Mauricio",0.99,0.01
"1489","Michiel",0.99,0.01
"1490","Minmin",-1,-1
"1491","Muriel",0.03,0.97
"1492","Mustafa",0.95,0.05
"1493","Myles",0.94,0.0600000000000001
"1494","Neda",0.03,0.97
"1495","Nikolaos",0.99,0.01
"1496","Phyllis",0.01,0.99
"1497","Ramesh",0.99,0.01
"1498","Raquel",0.02,0.98
"1499","Ryota",1,0
"1500","Sander",0.98,0.02
"1501","Santosh",0.99,0.01
"1502","Sari",0.26,0.74
"1503","Sheng-Kwei",0.74,0.26
"1504","Shozo",1,0
"1505","Shubha",0.13,0.87
"1506","Sten",0.98,0.02
"1507","Susanna",0.02,0.98
"1508","Takako",0.03,0.97
"1509","Takuya",0.99,0.01
"1510","Tarek",0.99,0.01
"1511","Theo",0.97,0.03
"1512","Tiffany",0.02,0.98
"1513","Toshihide",1,0
"1514","Uli",0.74,0.26
"1515","Vassilis",0.99,0.01
"1516","Vivek",1,0
"1517","Warren",0.99,0.01
"1518","Wen-Biao",0.46,0.54
"1519","Wolf",1,0
"1520","Xiaoming",0.83,0.17
"1521","Yves-Alain",1,0
"1522","Zhong",0.73,0.27
"1523","Agustin",0.96,0.04
"1524","Alla",0.17,0.83
"1525","Amita",0.04,0.96
"1526","Anand",1,0
"1527","Anis",0.86,0.14
"1528","Antonino",0.99,0.01
"1529","April",0.04,0.96
"1530","Argye",0.25,0.75
"1531","Arnon",0.99,0.01
"1532","Ashok",1,0
"1533","Avi",0.92,0.08
"1534","Benedetto",0.98,0.02
"1535","Britta",0.02,0.98
"1536","Carola",0.02,0.98
"1537","Cassandra",0.02,0.98
"1538","Chunshui",0.75,0.25
"1539","Corinne",0.02,0.98
"1540","Cosimo",0.99,0.01
"1541","Dante",0.98,0.02
"1542","Dorothy",0.02,0.98
"1543","Dustin",1,0
"1544","Egidio",0.98,0.02
"1545","Einat",0.02,0.98
"1546","Eishi",0.94,0.0600000000000001
"1547","Eliana",0.02,0.98
"1548","Elly",0.16,0.84
"1549","Els",0.04,0.96
"1550","Emmanuelle",0.03,0.97
"1551","Ernesto",0.99,0.01
"1552","Fabien",0.98,0.02
"1553","Fanny",0.04,0.96
"1554","Farzan",0.89,0.11
"1555","Gemma",0.02,0.98
"1556","Gilbert",0.98,0.02
"1557","Giovanna",0.03,0.97
"1558","Gui",0.89,0.11
"1559","Gunther",0.99,0.01
"1560","Guo-li",0.49,0.51
"1561","Hana",0.02,0.98
"1562","Hans-Peter",0.99,0.01
"1563","Hee-Sup",0.62,0.38
"1564","Henk",0.98,0.02
"1565","Henri",0.98,0.02
"1566","Hongtu",0.75,0.25
"1567","Janos",0.99,0.01
"1568","Jean-Michel",0.99,0.01
"1569","Jelle",0.96,0.04
"1570","Jenna",0.02,0.98
"1571","Jerold",0.99,0.01
"1572","JosA(C)",-1,-1
"1573","Jose-Manuel",1,0
"1574","Juliane",0.02,0.98
"1575","Jyoti",0.12,0.88
"1576","Jyrki",0.99,0.01
"1577","Kai-Hsiang",1,0
"1578","Kamal",0.97,0.03
"1579","Kazushige",1,0
"1580","Kenton",0.98,0.02
"1581","Mala",0.19,0.81
"1582","Manabu",0.99,0.01
"1583","Mani",0.9,0.1
"1584","Mareike",0.02,0.98
"1585","Marisela",0.02,0.98
"1586","Marjan",0.43,0.57
"1587","Marjorie",0.02,0.98
"1588","Marko",0.99,0.01
"1589","Martyn",0.99,0.01
"1590","Matthieu",0.99,0.01
"1591","Meng",0.61,0.39
"1592","Merav",0.05,0.95
"1593","Meredith",0.02,0.98
"1594","Mingzhou",0.8,0.2
"1595","Mitsuhiro",0.99,0.01
"1596","Motoaki",1,0
"1597","Myriam",0.02,0.98
"1598","Nan",0.29,0.71
"1599","Naomi",0.02,0.98
"1600","Naoyuki",1,0
"1601","Niall",0.96,0.04
"1602","Nobuhiko",1,0
"1603","Nobuo",1,0
"1604","Nuria",0.02,0.98
"1605","Ofer",0.98,0.02
"1606","Penelope",0.02,0.98
"1607","Pia",0.03,0.97
"1608","Pierrick",0.98,0.02
"1609","Po-Wu",0.69,0.31
"1610","Praveen",1,0
"1611","Renata",0.01,0.99
"1612","Reto",0.99,0.01
"1613","Sabina",0.02,0.98
"1614","Shimon",0.98,0.02
"1615","Shogo",0.99,0.01
"1616","Sigrid",0.02,0.98
"1617","Song",1,0
"1618","Spencer",0.97,0.03
"1619","Stacey",0.05,0.95
"1620","Sun",0.61,0.39
"1621","Tarik",0.97,0.03
"1622","Tessa",0.02,0.98
"1623","Thilo",0.96,0.04
"1624","Tianming",1,0
"1625","Tommaso",0.99,0.01
"1626","Toni",0.86,0.14
"1627","Toshitaka",1,0
"1628","Tracey",0.04,0.96
"1629","Tristan",0.97,0.03
"1630","Udo",0.98,0.02
"1631","Veena",0.02,0.98
"1632","Veronika",0.01,0.99
"1633","Vivien",0.4,0.6
"1634","Wen-Chang",1,0
"1635","Wouter",1,0
"1636","Yanchao",0.89,0.11
"1637","Yaoda",-1,-1
"1638","Yoshiki",0.98,0.02
"1639","Yuh-Nung",0.55,0.45
"1640","Yumiko",0.03,0.97
"1641","Zhiqiang",1,0
"1642","Alard",0.9,0.1
"1643","Alyson",0.15,0.85
"1644","Amelia",0.02,0.98
"1645","Amiel",0.88,0.12
"1646","Annika",0.02,0.98
"1647","Aron",0.96,0.04
"1648","Arvind",1,0
"1649","Asa",0.71,0.29
"1650","Biyu",0.33,0.67
"1651","Carina",0.02,0.98
"1652","Carl-Fredrik",1,0
"1653","Cedric",0.99,0.01
"1654","Chloe",0.02,0.98
"1655","Clara",0.03,0.97
"1656","Damon",0.99,0.01
"1657","Deepak",1,0
"1658","Detlev",0.99,0.01
"1659","Devin",0.88,0.12
"1660","Dimitrios",0.99,0.01
"1661","Dimitris",0.99,0.01
"1662","Ehsan",0.98,0.02
"1663","Eilon",0.92,0.08
"1664","Ekaterina",0.02,0.98
"1665","Emanuela",0.02,0.98
"1666","Emeran",0.93,0.07
"1667","Emi",0.27,0.73
"1668","Emiliana",0.01,0.99
"1669","Ernest",0.99,0.01
"1670","Fahmeed",1,0
"1671","Ferenc",0.99,0.01
"1672","Franca",0.03,0.97
"1673","Francesc",0.98,0.02
"1674","Frans",0.98,0.02
"1675","Fritjof",1,0
"1676","Fumitaka",1,0
"1677","Gabrielle",0.03,0.97
"1678","Gaby",0.28,0.72
"1679","Galina",0.02,0.98
"1680","Garret",0.98,0.02
"1681","Georges",0.98,0.02
"1682","Gerwin",0.99,0.01
"1683","Gianluca",0.99,0.01
"1684","Gijs",0.99,0.01
"1685","Giorgia",0.01,0.99
"1686","Glyn",0.95,0.05
"1687","Haim",0.99,0.01
"1688","Hamid",0.98,0.02
"1689","He",0.71,0.29
"1690","Heikki",1,0
"1691","Herman",0.98,0.02
"1692","Hey-Kyoung",0.7,0.3
"1693","Hilleke",0,1
"1694","Huaibin",0.75,0.25
"1695","Huaiyu",0.83,0.17
"1696","Inge",0.08,0.92
"1697","Ippeita",0.75,0.25
"1698","Janina",0.02,0.98
"1699","Jared",0.99,0.01
"1700","Jean-Louis",0.99,0.01
"1701","Jean-Paul",0.98,0.02
"1702","Jed",0.96,0.04
"1703","Jeremie",0.98,0.02
"1704","Jiang-Yuan",0.61,0.39
"1705","Joelle",0.02,0.98
"1706","Josephine",0.02,0.98
"1707","Jutta",0.03,0.97
"1708","Kasper",0.98,0.02
"1709","Katarzyna",0.02,0.98
"1710","Kazuaki",0.99,0.01
"1711","Ke",0.75,0.25
"1712","Kensuke",1,0
"1713","Kuei-Sen",0.69,0.31
"1714","Kuniyoshi",1,0
"1715","Le",0.68,0.32
"1716","Leonid",0.99,0.01
"1717","Manzoor",0.99,0.01
"1718","Mar1a",0.03,0.97
"1719","Marcin",0.99,0.01
"1720","Margarita",0.02,0.98
"1721","Mariko",0.12,0.88
"1722","Marinos",0.99,0.01
"1723","Masamichi",1,0
"1724","Masanori",1,0
"1725","Mats",0.99,0.01
